accepted_name,registro_dep
Aristolochia physodes,Loreto
Aristolochia physodes,San Martín
Aristolochia putumayensis,Loreto
Aristolochia xerophytica,Amazonas
Aristolochia xerophytica,Cajamarca
Aristolochia xerophytica,La Libertad
Astephanus peruvianus,Sin_datos
Cynanchum calycinum,Cajamarca
Cynanchum canoi,Cusco
Cynanchum hickenii,Cusco
Cynanchum luteynii,Cusco
Cynanchum peruvianum,Junín
Cynanchum thymifolium,Piura
Cynanchum tiaratum,Arequipa
Cynanchum unguiculatum,Sin_datos
Ditassa crassa,Huánuco
Ditassa crassa,San Martín
Ditassa gracilipes,San Martín
Ditassa peruviana,San Martín
Ditassa violascens,Cusco
Ditassa weberbaueri,Amazonas
Gonolobus marginatus,San Martín
Gonolobus peruanus,Áncash
Gonolobus purpureus,San Martín
Gonolobus sagasteguii,La Libertad
Marsdenia oligantha,Amazonas
Marsdenia oligantha,Cajamarca
Marsdenia oligantha,San Martín
Marsdenia weberbaueri,Junín
Marsdenia weberbaueri,San Martín
Matelea aliciae,Cajamarca
Matelea aliciae,La Libertad
Matelea aliciae,Lambayeque
Matelea aliciae,Piura
Matelea camiloana,Loreto
Matelea glandulosa,Huánuco
Matelea klugii,San Martín
Matelea longifolia,Huánuco
Matelea marginata,Cajamarca
Matelea melinii,San Martín
Matelea pedicellata,Cusco
Matelea peruviana,Huánuco
Matelea ruiz-pavonii,Junín
Matelea schunkei,San Martín
Matelea subsessilifolia,San Martín
Matelea vargasii,Cusco
Matelea weberbaueri,Tumbes
Matelea woytkowskii,Cajamarca
Metastelma rariflorum,Puno
Orthosia tarmensis,Junín
Oxypetalum albiflorum,Puno
Oxypetalum weberbaueri,Junín
Oxypetalum weberbaueri,Puno
Philibertia peruviana,Ayacucho
Philibertia peruviana,Cusco
Schistonema weberbaueri,Cajamarca
Stenomeria fosteri,Madre de Dios
Tassadia cordata,Loreto
Tassadia cordata,Ucayali
Asplenium divaricatum,Amazonas
Asplenium divaricatum,Cusco
Asplenium divaricatum,Huánuco
Asplenium divaricatum,Junín
Asplenium divaricatum,Pasco
Asplenium divaricatum,San Martín
Asplenium projectum,Amazonas
Asplenium projectum,Huánuco
Achyrocline peruviana,Áncash
Achyrocline peruviana,Cajamarca
Achyrocline peruviana,La Libertad
Aequatorium cajamarcense,Cajamarca
Aequatorium carpishense,Huánuco
Aequatorium juninense,Junín
Aequatorium rimachianum,Huánuco
Aequatorium stellatopilosum,Amazonas
Aequatorium stellatopilosum,Cusco
Aequatorium stellatopilosum,Huánuco
Aequatorium stellatopilosum,Pasco
Aequatorium tovarii,Huancavelica
Aequatorium tovarii,Junín
Aequatorium tovarii,Pasco
Aequatorium tuestae,Huánuco
Ageratina bishopii,Amazonas
Ageratina boekei,Amazonas
Ageratina chachapoyasensis,Amazonas
Ageratina chachapoyasensis,Lambayeque
Ageratina gracilenta,Amazonas
Ageratina gracilenta,Huánuco
Ageratina infiernillensis,Lima
Ageratina lobulifera,Áncash
Ageratina lobulifera,Lima
Ageratina lobulifera,Moquegua
Ageratina lopez-mirandae,La Libertad
Ageratina pampalcensis,Ayacucho
Ageratina piurae,Piura
Ageratina proba,Cajamarca
Ageratina proba,La Libertad
Ageratina rhytidodes,Huánuco
Ageratina simulans,Lima
Ageratina subferruginea,Sin_datos
Ageratina tarmensis,Junín
Ageratina vallincola,Áncash
Ageratina vallincola,Apurímac
Ageratina vallincola,Ayacucho
Ageratina vallincola,Cajamarca
Ageratina vallincola,Huánuco
Ageratina vallincola,Junín
Ageratina vallincola,La Libertad
Ageratina vallincola,Lima
Ageratina wurdackii,Amazonas
Alloispermum weberbaueri,Ayacucho
Amboroa wurdackii,Amazonas
Ambrosia dentata,Arequipa
Ambrosia pannosa,Arequipa
Aphanactis hutchisonii,Amazonas
Aristeguietia anisodonta,Amazonas
Aristeguietia anisodonta,Apurímac
Aristeguietia anisodonta,Cajamarca
Aristeguietia anisodonta,Cusco
Aristeguietia anisodonta,Huánuco
Aristeguietia anisodonta,Lambayeque
Aristeguietia anisodonta,La Libertad
Aristeguietia anisodonta,Piura
Aristeguietia ballii,Arequipa
Aristeguietia ballii,Lima
Aristeguietia cursonii,Arequipa
Aristeguietia diplodictyon,Cusco
Aristeguietia diplodictyon,Huánuco
Aristeguietia gascae,Amazonas
Aristeguietia tahonensis,Cajamarca
Arnaldoa macbrideana,Lambayeque
Arnaldoa macbrideana,Piura
Arnaldoa weberbaueri,Amazonas
Arnaldoa weberbaueri,Cajamarca
Arnaldoa weberbaueri,La Libertad
Ascidiogyne sanchezvegae,Cajamarca
Ascidiogyne sanchezvegae,La Libertad
Ascidiogyne wurdackii,Amazonas
Ascidiogyne wurdackii,Cajamarca
Asplundianthus sagasteguii,Cajamarca
Asplundianthus sagasteguii,Piura
Asplundianthus scabrifolius,Huánuco
Asplundianthus scabrifolius,Junín
Asplundianthus trachyphyllus,Cajamarca
Ayapanopsis andina,Cusco
Ayapanopsis ferreyrii,Cajamarca
Ayapanopsis mathewsii,Amazonas
Ayapanopsis mathewsii,Cajamarca
Ayapanopsis tarapotensis,Amazonas
Ayapanopsis tarapotensis,Cusco
Ayapanopsis tarapotensis,Loreto
Ayapanopsis tarapotensis,San Martín
Ayapanopsis vargasii,Cusco
Ayapanopsis wurdackiana,Ayacucho
Aynia pseudascaricida,Ayacucho
Baccharis alnifolia,Arequipa
Baccharis alnifolia,La Libertad
Baccharis ayacuchensis,Ayacucho
Baccharis brachylaenoides var. mathewsii,Amazonas
Baccharis chachapoyasensis,Amazonas
Baccharis chilcaura,Sin_datos
Baccharis corymbosa,Huánuco
Baccharis davidsonii,Junín
Baccharis grandicapitulata var. subdentata,Ayacucho
Baccharis grandicapitulata var. subdentata,Cajamarca
Baccharis grandicapitulata var. subdentata,Huánuco
Baccharis hutchisonii,Cajamarca
Baccharis hutchisonii,Lambayeque
Baccharis hutchisonii,Piura
Baccharis johnwurdackiana,Cusco
Baccharis kingii,Áncash
Baccharis kingii,Cajamarca
Baccharis kingii,La Libertad
Baccharis kingii,Lima
Baccharis ledifolia,Amazonas
Baccharis ledifolia,Cajamarca
Baccharis libertadensis,La Libertad
Baccharis oxyphylla,Amazonas
Baccharis oxyphylla,Huánuco
Baccharis scabra,Junín
Baccharis tarmensis,Amazonas
Baccharis tarmensis,Cajamarca
Baccharis tarmensis,Junín
Baccharis venulosoides,Amazonas
Badilloa drepanoides,Áncash
